h o g w a r t s , l a t e n t _ , 4 , 0 . 4 4 7 7 4 6 1 4 1 1 9 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
h e r m i o n e , l a t e n t _ , 4 , 0 . 3 6 6 2 0 9 4 3 5 1 7 6 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
g i n n y , l a t e n t _ , 4 , 0 . 8 6 8 5 7 6 7 6 8 5 8 2 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
d u m b l e d o r e , l a t e n t _ , 4 , 0 . 7 9 8 6 1 9 0 0 9 4 7 7 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
r i d d l e , l a t e n t _ , 4 , 0 . 7 1 5 3 4 8 3 1 4 1 7 5 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
h a r r y , l a t e n t _ , 4 , 0 . 4 8 1 2 5 7 8 3 5 7 1 4 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
l u c i u s , l a t e n t _ , 4 , 0 . 7 5 6 1 3 6 9 3 6 6 5 5 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
m a l f o y , l a t e n t _ , 4 , 0 . 6 4 7 6 6 5 5 7 8 8 9 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
t o m , l a t e n t _ , 4 , 0 . 5 9 6 9 5 2 3 4 3 2 4 2 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
h a g r i d , l a t e n t _ , 4 , 0 . 9 5 1 2 1 1 7 3 4 8 6 8 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
r o n , l a t e n t _ , 4 , 0 . 3 0 3 5 2 0 5 5 7 3 5 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
l o c k h a r t , l a t e n t _ , 4 , 0 . 8 1 0 6 2 2 2 6 8 2 2 1 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
w e a s l e y , l a t e n t _ , 4 , 0 . 7 4 2 4 1 5 2 0 0 8 4 3 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
s l y t h e r i n s , l a t e n t _ , 4 , 0 . 9 5 4 0 1 6 8 2 9 7 1 8 , H a r r y   P o t t e r   a n d   t h e   C h a m b e r   o f   S e c r e t s   -   J .   K .   R o w l i n g , 
